Rural population (% of total),Rural population growth (annual %), Forest area % of land area,Permanent cropland % of land area,Land area(sq. km thousands),Arable land % of land area
15,-2.7,0,0.1,309.5,0.2
63,1.7,1.9,1,770.9,40.3
20,-2.2,87.6,4.3,0.5,2.2
32,0.6,61.9,2.5,74.3,7.6
87,1.9,74.1,1.5,452.9,0.7
38,0.5,37.7,0.2,397.3,12.1
22,0.9,57.7,1.1,"1,280.00",2.7
53,1,27.8,17.9,298.2,18.7
40,0.1,30.9,1.3,306.2,35.3
35,-1.8,34.6,8.3,91.6,10.7
6,-3.9,56.3,5.6,8.9,6.9
1,-4.3,0,0.2,11.6,1.2
46,-0.7,30.1,1.8,230.1,37.3
26,-0.6,49.8,0.1,"16,376.90",7.5
83,2.5,19.7,10.1,24.7,46.7
82,0.7,60.4,7.8,2.8,2.8
3,-5.1,0,NA,0.1,16.7
27,-1.1,55.8,40.6,1,9.1
16,0.4,0.5,0.1,"2,149.70",1.6
53,1.9,42.8,0.4,192.5,16.6
44,-0.9,31.1,2.1,87.5,29.7
43,0,88.4,3,0.5,0.3
58,1.4,43.1,2.3,72.2,21.9
0,NA,23.1,0.1,0.7,0.8
0,NA,NA,NA,0,NA
46,0.2,40.4,0.4,48.1,28
45,-0.2,62,2.7,20.1,9.1
76,2,77.9,2.9,28,0.7
55,1.8,10,0,627.3,1.8
34,-0.1,7.6,0.3,"1,213.10",10.3
80,0.3,NA,NA,NA,NA
20,-0.8,36.9,9.4,499.6,24.7
82,0.9,32.9,15.9,62.7,20.7
69,0.8,42.3,0.4,0.3,19.2
81,0.4,33.2,11.5,0.6,4.9
NA,NA,18.4,NA,0.1,NA
48,-0.5,69.2,7.7,0.4,12.8
65,2,NA,NA,NA,NA
34,0.9,98.3,0,156,0.4
13,-1.1,68.9,0,407.3,6.3
26,0.6,31.8,0.6,39.5,10.1
46,-2.4,2.7,5.8,183.6,25.4
73,2.2,3,1,138.8,5.3
66,1.9,51.6,2.4,885.8,15.2
50,-1.2,32.2,8.8,510.9,32.9
69,1.4,45.4,5,14.9,10.4
58,1.5,3.1,3.1,54.4,48.7
77,1.2,12.5,15.3,0.7,25
47,0.5,46,4.3,5.1,4.9
31,0.2,6.8,15,155.4,18.7
25,-0.5,15.4,4.3,769.6,26.5
48,0.7,8.8,0.1,469.9,4.1
7,-2.5,36.2,NA,1,1.1
38,-1,33.3,60,0,NA
76,3,9.7,11,200.5,34.4
31,-0.8,16.7,1.5,579.3,56.6
13,-0.5,4.6,0.6,71,0.6
17,-0.9,13.1,0.2,241.9,24.9
18,-0.6,33.9,0.3,"9,147.40",16.6
5,-1.6,10.7,0.2,175,13.8
50,1.9,7.5,0.9,425.4,10.3
75,2.3,36.1,10.3,12.2,1.6
12,-2,52.7,0.8,882.1,3.1
64,-0.1,48.1,14.6,310.1,22.6
4,-3,50,2.9,0.4,2.9
24,1.4,1.5,16,6,8.4
63,1.4,1,0.6,528,2.4
56,2,65.2,0,743.4,5.1
68,1.5,35.5,0.3,386.9,10.3
